"Tid","Typ","Text"
"2026-03-13 13:13:04.030","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 13:13:03.960","Information","Sequence 21 queued"
"2026-03-13 13:13:03.960","Information","Sequence 21 start"
"2026-03-13 13:02:17.092","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-13 13:02:15.622","Information","Sequence 21 emptied 1 valves in 4 minutes"
"2026-03-13 13:02:07.082","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-13 12:53:03.954","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 12:53:03.954","Information","Sequence 21 start"
"2026-03-13 12:53:03.885","Information","Sequence 21 queued"
"2026-03-13 10:43:51.133","Information","Sequence 52 emptied 7 valves in 4 minutes"
"2026-03-13 10:39:13.445","Information","Sequence 52 start"
"2026-03-13 10:39:12.325","Information","Sequence 51 emptied 2 valves in 4 minutes"
"2026-03-13 10:30:00.097","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 10:30:00.027","Information","Sequence 51 queued"
"2026-03-13 10:30:00.027","Information","Sequence 52 queued"
"2026-03-13 10:30:00.027","Information","Sequence 51 start"
"2026-03-13 10:28:49.048","Information","Sequence 21 emptied 1 valves in 2 minutes"
"2026-03-13 10:21:31.171","Information","Sequence 21 start"
"2026-03-13 10:21:31.171","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 10:21:31.100","Information","Sequence 21 queued"
"2026-03-13 09:58:51.217","Information","Sequence 21 emptied 1 valves in 1 minutes"
"2026-03-13 09:51:58.777","Information","Sequence 21 start"
"2026-03-13 09:51:58.777","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 09:51:58.707","Information","Sequence 21 queued"
"2026-03-13 08:43:54.154","Information","Sequence 21 emptied 1 valves in 2 minutes"
"2026-03-13 08:36:32.176","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 08:36:32.106","Information","Sequence 21 queued"
"2026-03-13 08:36:32.106","Information","Sequence 21 start"
"2026-03-13 08:24:49.729","Information","Sequence 22 emptied 1 valves in 0 minutes"
"2026-03-13 08:23:47.849","Information","Sequence 22 start"
"2026-03-13 08:23:46.729","Information","Sequence 21 emptied 1 valves in 2 minutes"
"2026-03-13 08:16:44.699","Information","Sequence 22 queued"
"2026-03-13 08:16:32.100","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 08:16:32.100","Information","Sequence 21 start"
"2026-03-13 08:16:32.030","Information","Sequence 21 queued"
"2026-03-13 08:15:23.011","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-13 08:08:54.301","Information","Sequence 21 queued"
"2026-03-13 08:08:14.331","Information","Sequence 31 start"
"2026-03-13 08:08:14.331","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 08:08:14.261","Information","Sequence 31 queued"
"2026-03-13 08:07:54.242","Information","Change to automatic operation mode"
"2026-03-13 08:01:03.063","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 08:01:03.063","Information","Change to manual operation mode"
"2026-03-13 08:00:43.673","Generellt","Warning! High compressed air leakage"
"2026-03-13 08:00:39.544","Generellt","Alarm reset"
"2026-03-13 07:55:11.665","Information","Exhauster 3 DC warning"
"2026-03-13 07:55:09.775","Information","Exhauster 2 DC warning"
"2026-03-13 07:55:08.445","Information","Exhauster 1 DC warning"
"2026-03-13 07:49:33.357","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-13 07:41:26.229","Information","Remote connection 1 (0=off, 1=on)"
